code_postal,nom,code_insee,latitude,longitude,code_departement,nom_departement,code_region,nom_region
1260,Champagne-en-Valromey,1079,45.9316447397,5.69321890072,1,Ain,84,Auvergne-Rhône-Alpes
1260,Champagne-en-Valromey,1079,45.9316447397,5.69321890072,1,Ain,84,Auvergne-Rhône-Alpes
1110,Champdor-Corcelles,1080,46.0198844188,5.60008759722,1,Ain,84,Auvergne-Rhône-Alpes
1110,Champdor-Corcelles,1080,46.0198844188,5.60008759722,1,Ain,84,Auvergne-Rhône-Alpes
1410,Champfromier,1081,46.220365768,5.82233573131,1,Ain,84,Auvergne-Rhône-Alpes
1420,Chanay,1082,46.005695299,5.76893393185,1,Ain,84,Auvergne-Rhône-Alpes
1990,Chaneins,1083,46.0934984191,4.85473364691,1,Ain,84,Auvergne-Rhône-Alpes
1400,Chanoz-Châtenay,1084,46.1861812234,5.02807719246,1,Ain,84,Auvergne-Rhône-Alpes
1240,La Chapelle-du-Châtelard,1085,46.0744536905,5.02162055898,1,Ain,84,Auvergne-Rhône-Alpes
1130,Charix,1087,46.1856344066,5.6811896084,1,Ain,84,Auvergne-Rhône-Alpes
1800,Charnoz-sur-Ain,1088,45.8736786869,5.2211032563,1,Ain,84,Auvergne-Rhône-Alpes
1500,Château-Gaillard,1089,45.9730390239,5.30754273532,1,Ain,84,Auvergne-Rhône-Alpes
1320,Châtenay,1090,46.0259402155,5.2048590395,1,Ain,84,Auvergne-Rhône-Alpes
1200,Châtillon-en-Michaille,1091,46.1293337743,5.770176021,1,Ain,84,Auvergne-Rhône-Alpes
1200,Châtillon-en-Michaille,1091,46.1293337743,5.770176021,1,Ain,84,Auvergne-Rhône-Alpes
1200,Châtillon-en-Michaille,1091,46.1293337743,5.770176021,1,Ain,84,Auvergne-Rhône-Alpes
1320,Châtillon-la-Palud,1092,45.9748017433,5.2416027725,1,Ain,84,Auvergne-Rhône-Alpes
1400,Châtillon-sur-Chalaronne,1093,46.1232390685,4.95810003714,1,Ain,84,Auvergne-Rhône-Alpes
1190,Chavannes-sur-Reyssouze,1094,46.4379785193,5.00693749662,1,Ain,84,Auvergne-Rhône-Alpes
1250,Nivigne et Suran,1095,46.2750157946,5.41649423093,1,Ain,84,Auvergne-Rhône-Alpes
1660,Chaveyriat,1096,46.1991513767,5.0564069258,1,Ain,84,Auvergne-Rhône-Alpes
1510,Chavornay,1097,45.8824049535,5.72499814516,1,Ain,84,Auvergne-Rhône-Alpes
1300,Chazey-Bons,1098,45.7925770617,5.68477063188,1,Ain,84,Auvergne-Rhône-Alpes
1150,Chazey-sur-Ain,1099,45.8929448968,5.25528498524,1,Ain,84,Auvergne-Rhône-Alpes
1510,Cheignieu-la-Balme,1100,45.8227204334,5.6050023969,1,Ain,84,Auvergne-Rhône-Alpes
1430,Chevillard,1101,46.1103512578,5.58116056005,1,Ain,84,Auvergne-Rhône-Alpes
1190,Chevroux,1102,46.38249255,4.96288275972,1,Ain,84,Auvergne-Rhône-Alpes
1170,Chevry,1103,46.283152935,6.04707941462,1,Ain,84,Auvergne-Rhône-Alpes
1200,Chézery-Forens,1104,46.222573373,5.87248105275,1,Ain,84,Auvergne-Rhône-Alpes
1410,Chézery-Forens,1104,46.222573373,5.87248105275,1,Ain,84,Auvergne-Rhône-Alpes
1390,Civrieux,1105,45.922467454,4.88633786877,1,Ain,84,Auvergne-Rhône-Alpes
